country_code,country_name,bank_code,swift_bic,bank_name,iban_length
AD,Andorra,0001,BACAADADXXX,andbanc Grup Agricol Reig,24
AD,Andorra,0003,CRDAADADXXX,Credit Andorra,24
AD,Andorra,0004,BINAADADXXX,MORA BANC SAU,24
AD,Andorra,0006,CASBADADXXX,Banca Privada d'Andorra,24
AD,Andorra,0007,BINAADADXXX,MoraBanc,24
AD,Andorra,0008,BSANADADXXX,BancSabadell d'Andorra,24
AE,United Arab Emirates,001,CBAUAEAAXXX,Central Bank of UAE,23
AE,United Arab Emirates,002,ABNAAEADXXX,The Royal Bank Of Scotland N,23
AE,United Arab Emirates,003,ADCBAEAAXXX,Abu Dhabi Commercial Bank,23
AE,United Arab Emirates,004,ABKKAEADXXX,Al Ahli Bank Of Kuwait K,23
AE,United Arab Emirates,005,RAFBAEADXXX,Raf idain Bank,23
AE,United Arab Emirates,007,ARAIAEADXXX,Arab African International Bank,23
AE,United Arab Emirates,008,ABINAEAAXXX,Al Masraf,23
AE,United Arab Emirates,009,ARABAEADXXX,Arab Bank,23
AE,United Arab Emirates,011,BARBAEADXXX,Bank of Baroda,23
AE,United Arab Emirates,012,SHARAEASXXX,Bank of Sharjah,23
AE,United Arab Emirates,015,BMISAEAAXXX,BANQUE MISR,23
AE,United Arab Emirates,016,BSUIAEADXXX,Credit Agricole Corporate and Investment Bank,23
AE,United Arab Emirates,018,BNPAAEAAXXX,BNP Paribas,23
AE,United Arab Emirates,019,BARCAEADXXX,Barclays Bank,23
AE,United Arab Emirates,020,BBMEAEADXXX,HSBC Bank Middle East,23
AE,United Arab Emirates,021,CITIAEADXXX,Citibank NA,23
AE,United Arab Emirates,022,CLBIAEADXXX,Commercial Bank International PSC,23
AE,United Arab Emirates,023,CBDUAEADXXX,Commercial Bank of Dubai,23
AE,United Arab Emirates,024,DUIBAEADXXX,Dubai Islamic Bank,23
AE,United Arab Emirates,025,NILBAEAAXXX,El Nilein Bank,23
AE,United Arab Emirates,026,EBILAEADXXX,Emirates NBD Bank PJSC,23
AE,United Arab Emirates,027,FGBMAEAAXXX,First Gulf Bank,23
AE,United Arab Emirates,028,HABBAEADXXX,Habib Bank Limited,23
AE,United Arab Emirates,029,HBZUAEADXXX,Habib Bank AG Zurich,23
AE,United Arab Emirates,030,IBTFAEASXXX,Investbank PSC,23
AE,United Arab Emirates,031,JANBAEAAXXX,Janata Bank,23
AE,United Arab Emirates,033,BOMLAEADXXX,Mashreqbank,23
AE,United Arab Emirates,034,MEBLAEADXXX,Emirates Islamic Bank PJSC,23
AE,United Arab Emirates,035,NBADAEAAXXX,National Bank of Abu Dhabi,23
